,Field_3,Field_4,Field_10,Field_12,Field_13,Field_19,Field_20,Field_21,Field_22,Field_23,Field_27,Field_28,Field_29,namSinh,gioiTinh,Field_36,Field_38,Field_39,Field_41,Field_42,Field_47,Field_50,Field_51,Field_53,Field_54,Field_55,Field_58,Field_59,Field_60,Field_62,Field_63,Field_64,Field_65,Field_66,Field_67,Field_69,Field_70,Field_71,Field_72,Field_73,Field_74,Field_75,Field_76,Field_77
10,2.0,T1,1.0,G8,1.0,0.0,1300000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,E,497593.0,0.19,0.08,0.135,-0.11,1.0,1822.0,5.0,3.0,5.0
11,2.0,T1,1.0,G8,1.0,0.0,2889000.0,4.5,1.0,0.0,2889000.0,130005.0,3.0,0.0,FEMALE,DN,0.0,0.0,0.0,0.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,4.0,3.0,Vùng 3,F,184320.0,0.0,0.29,0.145,0.29,1.0,1070.0,4.0,1.0,4.0
12,1.0,GH,1.0,G8,1.0,0.0,2356800.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TA,2.0,6.0,3.0,I,3.0,3.0,Vùng 1,I,581714.0,0.95,0.3,0.9,0.33,1.0,364.0,5.0,1.0,3.0
13,2.0,GH,1.0,G8,1.0,0.0,1490000.0,4.5,1.0,1.0,0.0,34500.0,0.0,0.0,MALE,GD,0.0,1.0,0.0,1.0,Zezo,1.0,1.0,0.0,VN,TP,0.0,3.0,3.0,I,3.0,1.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",D,99145.0,0.0,0.0,0.15,0.14,1.0,-5.0,8.0,0.0,3.0
14,1.0,T1,1.0,G8,1.0,0.0,3800000.0,4.5,1.0,225.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,T7,5.0,6.0,76.0,IV,4.0,3.0,Vùng 1,E,581827.0,0.01,0.43,0.595,0.56,1.0,2909.0,3.0,1.0,3.0
15,1.0,T1,1.0,G8,1.0,0.0,1490000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,0.0,3.0,Vùng 1,D,1183763.0,0.99,0.12,0.555,-0.87,1.0,342.0,4.0,1.0,3.0
16,2.0,T1,2.0,G8,1.0,0.0,6659000.0,4.5,1.0,105.0,0.0,0.0,12.0,1.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,1.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,I,784073.0,0.6,0.9,0.75,0.3,1.0,2546.0,1.0,0.0,1.0
17,1.0,GH,1.0,G8,1.0,0.0,4200000.0,4.5,1.0,17.0,3090000.0,0.0,12.0,0.0,MALE,DN,0.0,0.0,1.0,1.0,Four,1.0,1.0,0.0,VN,HK,2.0,33.0,3.0,I,2.0,4.0,Vùng 1,E,185954.0,0.15,0.44,0.175,-0.53,1.0,727.0,4.0,1.0,6.0
18,2.0,T1,1.0,G8,1.0,0.0,4425300.0,4.5,1.0,48.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,0.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,6.0,3.0,I,2.0,1.0,Vùng 1,F,398623.0,0.72,0.12,0.795,0.56,1.0,3265.0,5.0,0.0,3.0
19,2.0,T1,1.0,G8,1.0,0.0,2810100.0,4.5,1.0,0.0,0.0,0.0,6.0,0.0,FEMALE,TN,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BO,2.0,35.0,33.0,II,2.0,1.0,Vùng 1,I,470954.0,0.45,0.29,0.37,-0.16,1.0,3990.0,3.0,1.0,3.0
20,1.0,GH,1.0,G8,1.0,3.63,745000.0,4.5,1.0,0.0,0.0,0.0,10.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,3.0,V,2.0,3.0,Vùng 1,D,928563.0,0.6,0.32,0.26,0.35,1.0,3993.0,5.0,0.0,8.0
21,1.0,GH,1.0,G8,1.0,0.0,4473000.0,4.5,1.0,18.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,KR,AO,0.0,4.0,31.0,III,2.0,1.0,Vùng 1,H,835844.0,0.26,0.6,0.535,-0.26,1.0,716.0,6.0,0.0,7.0
22,1.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,G,1183051.0,0.2,0.08,0.14,-0.12,1.0,2911.0,5.0,3.0,5.0
23,2.0,T1,1.0,G8,1.0,0.0,3750000.0,4.5,1.0,6.0,0.0,108135.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,BI,0.0,4.0,3.0,IV,2.0,1.0,Vùng 4,B,382160.0,0.36,0.49,0.47,-0.51,0.0,3278.0,7.0,1.0,2.0
24,1.0,GH,1.0,G8,1.0,0.0,6374692.0,4.5,1.0,39.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,G,69068.0,0.18,0.89,0.535,0.71,1.0,4005.0,5.0,1.0,2.0
25,1.0,GH,1.0,G8,1.0,0.0,2896000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,I,202458.0,0.0,0.29,0.145,0.29,1.0,702.0,3.0,0.0,3.0
26,1.0,T1,1.0,G8,1.0,0.0,5124000.0,4.5,1.0,23.0,3750000.0,0.0,11.0,0.0,MALE,DN,0,1.0,1.0,1.0,Three,1.0,1.0,0.0,VN,YN,3.0,31.0,5.0,I,3.0,4.0,Vùng 1,F,779220.0,0.59,0.49,0.19,0.42,0.0,3993.0,4.0,0.0,5.0
27,1.0,T1,1.0,G8,1.0,0.0,3710000.0,4.5,1.0,0.0,0.0,96300.0,6.0,0.0,MALE,SV,0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,V,2.0,3.0,Vùng 1,C,1027294.0,0.05,0.12,0.445,-0.33,1.0,364.0,5.0,1.0,4.0
28,1.0,GH,1.0,G8,1.0,0.0,4260000.0,4.5,1.0,7.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TF,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,D,986721.0,0.0,0.49,0.245,0.49,1.0,3264.0,4.0,1.0,3.0
29,2.0,T1,1.0,G8,1.0,0.0,1150000.0,0.0,1.0,0.0,1150000.0,0.0,12.0,0.0,FEMALE,GD,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,8.0,4.0,Vùng 4,C,169968.0,0.35,0.08,0.215,-0.27,1.0,359.0,5.0,0.0,5.0
30,2.0,T1,1.0,G9,1.0,0.0,5000000.0,4.5,1.0,24.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TF,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,C,116212.0,0.0,0.77,0.385,0.77,1.0,337.0,1.0,0.0,1.0
31,1.0,GH,1.0,G8,1.0,0.0,6664797.0,4.5,1.0,87.0,0.0,0.0,6.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,E,69247.0,0.27,0.9,0.585,0.63,1.0,717.0,6.0,3.0,5.0
32,2.0,GH,1.0,G8,1.0,0.0,3684000.0,4.5,1.0,5.0,0.0,0.0,12.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,AP,0.0,6.0,2.0,I,2.0,3.0,Vùng 2,G,1139931.0,0.28,0.33,0.0,0.03,1.0,703.0,3.0,1.0,0.0
33,1.0,GH,1.0,G8,1.0,0.0,5312000.0,4.5,1.0,40.0,0.0,0.0,6.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,JP,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,G,783880.0,0.19,0.82,0.505,0.63,1.0,2170.0,2.0,0.0,0.0
34,1.0,T1,1.0,G8,1.0,0.0,2696400.0,4.5,1.0,60.0,0.0,0.0,0.0,0.0,MALE,DT,0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,4.0,6.0,31.0,V,2.0,1.0,Vùng 3,C,68926.0,0.24,0.33,0.045,0.12,1.0,2169.0,2.0,0.0,3.0
35,2.0,T1,1.0,G8,1.0,0.0,4700000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,D,69105.0,0.19,0.71,0.45,0.52,1.0,1802.0,5.0,1.0,4.0
36,1.0,GH,1.0,G8,1.0,0.0,1150000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,DN,0,1.0,0.0,1.0,One,1.0,1.0,0.0,VN,TU,4.0,5.0,3.0,V,3.0,1.0,Vùng 2,D,784294.0,0.6,0.01,0.49,0.1,1.0,352.0,6.0,0.0,2.0
37,1.0,GH,1.0,G8,1.0,0.0,4580000.0,4.5,1.0,17.0,0.0,0.0,0.0,0.0,MALE,GD,0.0,1.0,0.0,1.0,Four,1.0,1.0,0.0,VN,TH,0.0,5.0,3.0,V,2.0,2.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",H,801379.0,0.05,0.6,0.61,-0.32,1.0,2902.0,5.0,1.0,3.0
38,1.0,GH,1.0,G8,1.0,0.0,2771400.0,4.5,1.0,84.0,0.0,0.0,6.0,0.0,MALE,DN,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,YN,2.0,5.0,33.0,I,2.0,5.0,Vùng 1,H,399315.0,0.0,0.12,0.195,-0.87,1.0,722.0,3.0,0.0,2.0
39,1.0,GH,1.0,G8,1.0,0.0,834000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,CH,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,2.0,35.0,3.0,II,2.0,2.0,Vùng 3,G,499286.0,0.56,0.08,0.04,-0.05,1.0,2543.0,4.0,0.0,2.0
40,2.0,T1,1.0,G8,1.0,0.0,4260000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,GD,0.0,1.0,1.0,0.0,Zezo,1.0,1.0,0.0,VN,KC,0.0,4.0,31.0,I,3.0,1.0,Vùng 4,G,797696.0,0.0,0.44,0.7,0.12,1.0,-19.0,5.0,0.0,4.0
41,1.0,T1,1.0,G8,1.0,0.0,8500000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,MALE,GD,0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,HZ,0.0,6.0,3.0,V,3.0,1.0,Vùng 1,E,24050.0,0.25,0.01,0.55,0.2,1.0,1093.0,5.0,0.0,4.0
42,2.0,T1,1.0,G8,1.0,0.0,1300000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,MALE,SV,0.0,0.0,0.0,0.0,One,1.0,1.0,0.0,VN,AL,4.0,31.0,29.0,IV,2.0,1.0,Vùng 1,B,70859.0,0.0,0.08,0.04,0.08,1.0,2171.0,4.0,0.0,3.0
43,1.0,GH,1.0,G3,1.0,0.0,3506300.0,4.5,1.0,1.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,8.0,4.0,Vùng 4,G,620182.0,0.0,0.35,0.175,0.35,1.0,703.0,4.0,2.0,4.0
44,1.0,GH,1.0,G8,1.0,0.0,3542000.0,4.5,1.0,0.0,1210000.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,0.0,Two,1.0,1.0,0.0,VN,T9,0.0,4.0,3.0,I,3.0,1.0,Vùng 1,D,559242.0,0.58,0.08,0.15,0.08,1.0,1820.0,5.0,0.0,5.0
45,1.0,GH,1.0,G8,1.0,0.0,3778000.0,4.5,1.0,12.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,CN,TA,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,D,410321.0,0.0,0.39,0.195,0.39,1.0,359.0,11.0,2.0,6.0
46,2.0,GH,1.0,G8,1.0,0.0,3730000.0,4.5,1.0,244.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,0.0,1.0,Four,1.0,1.0,0.0,VN,TY,5.0,33.0,3.0,I,2.0,5.0,Vùng 2,E,540719.0,0.33,0.96,0.19,0.09,1.0,1458.0,4.0,2.0,7.0
47,2.0,T1,1.0,G8,1.0,0.0,4815680.0,4.5,1.0,4.0,0.0,0.0,0.0,0.0,FEMALE,GD,0.0,1.0,0.0,0.0,Four,1.0,1.0,0.0,VN,BI,5.0,4.0,3.0,I,0.0,1.0,"DN đầu tư NN (Vùng 2 có ĐT) {10->14, 16, 19->23, 25, 29}",F,441904.0,0.59,0.27,0.3,-0.18,1.0,2902.0,8.0,2.0,6.0
48,1.0,GH,1.0,G8,1.0,3.9930000000000003,5949570.0,4.5,1.0,362.0,0.0,0.0,12.0,0.0,MALE,HC,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,HZ,0.0,6.0,4.0,I,2.0,1.0,Vùng 1,D,779322.0,0.82,0.86,0.84,0.04,1.0,345.0,2.0,0.0,1.0
49,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,F,904125.0,0.59,0.08,0.335,-0.51,1.0,334.0,3.0,0.0,3.0
50,2.0,T1,1.0,G8,1.0,0.0,745000.0,4.5,1.0,46.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,4.0,3.0,Vùng 3,D,253213.0,0.05,0.0,0.025,-0.05,1.0,356.0,7.0,1.0,6.0
51,2.0,GH,2.0,G8,1.0,0.0,4335000.0,4.5,1.0,312.0,0.0,0.0,12.0,0.0,FEMALE,DN,0.0,0.0,0.0,1.0,Zezo,1.0,1.0,0.0,VN,BO,0.0,83.0,3.0,I,2.0,3.0,Vùng 2,E,247544.0,0.26,0.62,0.505,0.49,1.0,1456.0,1.0,0.0,1.0
52,1.0,GH,1.0,G8,1.0,0.0,4260000.0,4.5,1.0,77.0,0.0,0.0,6.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,H,646653.0,0.42,0.49,0.455,0.07,1.0,3990.0,3.0,1.0,3.0
53,2.0,T1,1.0,G8,1.0,0.0,4700000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TE,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,C,884254.0,0.46,0.71,0.585,0.25,1.0,3624.0,7.0,1.0,3.0
54,2.0,T1,1.0,G8,1.0,0.0,4258600.0,4.5,1.0,12.0,0.0,121500.0,0.0,0.0,MALE,DN,0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TL,0.0,5.0,2.0,I,3.0,7.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",C,512335.0,0.41,0.12,0.77,0.12,1.0,1814.0,1.0,2.0,5.0
55,2.0,T1,1.0,G8,1.0,0.0,973000.0,4.5,1.0,28.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Three,1.0,1.0,0.0,VN,BI,2.0,4.0,31.0,I,2.0,4.0,Vùng 3,I,394894.0,0.61,0.12,0.165,0.49,1.0,-12.0,5.0,0.0,5.0
56,1.0,GH,1.0,G8,1.0,0.0,4635300.0,4.5,1.0,42.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TF,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,G,210495.0,0.32,0.69,0.505,0.37,1.0,3642.0,6.0,0.0,6.0
57,1.0,GH,1.0,G8,1.0,1.67,3978300.0,4.5,1.0,124.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TA,0.0,4.0,31.0,I,3.0,1.0,Vùng 3,B,709735.0,0.33,0.97,0.735,0.29,1.0,346.0,9.0,0.0,3.0
58,2.0,T1,1.0,G8,1.0,0.0,3182400.0,4.5,1.0,52.0,0.0,0.0,4.0,0.0,MALE,TN,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BO,2.0,35.0,33.0,II,2.0,1.0,Vùng 1,I,470954.0,0.72,0.31,0.515,-0.41,1.0,2903.0,5.0,2.0,3.0
59,2.0,T1,1.0,G8,1.0,0.0,13000000.0,4.5,1.0,12.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Three,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,G,716761.0,0.69,0.97,0.83,0.28,1.0,2542.0,4.0,0.0,3.0
60,2.0,T1,1.0,G8,1.0,0.0,3867500.0,4.5,1.0,33.0,0.0,0.0,6.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,4.0,3.0,Vùng 3,I,441904.0,0.37,0.41,0.39,0.04,1.0,1458.0,4.0,0.0,2.0
61,2.0,T1,1.0,G8,1.0,1.0,1490000.0,4.5,1.0,32.0,0.0,0.0,36.0,1.0,FEMALE,DK,0.0,1.0,1.0,1.0,Two,1.0,1.0,0.0,VN,AP,0.0,83.0,80.0,III,0.0,2.0,Vùng 1,E,870435.0,0.0,0.12,0.06,0.12,1.0,3632.0,4.0,1.0,4.0
62,1.0,T1,1.0,G8,1.0,0.0,1551200.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,DN,0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,HB,0.0,4.0,33.0,I,4.0,1.0,"DN đầu tư NN (Vùng 2 có ĐT) {10->14, 16, 19->23, 25, 29}",C,1035858.0,0.32,0.27,0.285,0.29,1.0,717.0,2.0,2.0,3.0
63,2.0,T1,2.0,G8,1.0,0.0,1300000.0,4.5,1.0,8.0,0.0,0.0,12.0,0.0,FEMALE,SV,0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,AL,4.0,31.0,29.0,IV,2.0,1.0,Vùng 1,D,22914.0,0.0,0.08,0.04,0.08,1.0,706.0,13.0,5.0,8.0
64,1.0,GH,1.0,G8,1.0,0.0,4408600.0,4.5,1.0,8.0,0.0,0.0,2.0,1.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,2.0,1.0,Vùng 1,G,213970.0,0.13,0.6,0.365,0.47,1.0,3999.0,1.0,0.0,0.0
65,2.0,T1,1.0,G8,1.0,0.0,4473000.0,4.5,1.0,1.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,TC,0.0,5.0,3.0,I,2.0,1.0,Vùng 1,E,104634.0,0.54,0.6,0.57,0.06,1.0,1455.0,2.0,0.0,1.0
66,2.0,T1,1.0,G8,1.0,0.0,4080000.0,4.5,1.0,61.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,0.0,1.0,0.0,One,1.0,1.0,0.0,VN,YN,5.0,4.0,2.0,V,3.0,1.0,Vùng 1,F,369746.0,0.33,0.35,0.465,0.78,1.0,1093.0,6.0,0.0,2.0
67,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,0.0,0.0,0.0,11.0,0.0,MALE,CN,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,AC,4.0,51.0,74.0,IV,43.0,9.0,DN tư nhân,C,364375.0,0.19,0.08,0.135,-0.11,1.0,2170.0,1.0,0.0,1.0
68,2.0,T1,1.0,G8,1.0,0.0,4000000.0,4.5,1.0,15.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TF,0.0,5.0,2.0,I,2.0,7.0,Vùng 1,C,1128504.0,0.98,0.92,0.365,-0.16,1.0,1437.0,3.0,0.0,4.0
69,1.0,GH,1.0,G8,1.0,1.83,2726700.0,4.5,1.0,48.0,0.0,0.0,12.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BQ,0.0,17.0,15.0,I,2.0,1.0,Vùng 1,D,16514.0,0.14,0.29,0.215,0.15,1.0,725.0,1.0,0.0,1.0
70,1.0,GH,1.0,G8,1.0,0.0,4626595.0,4.5,1.0,19.0,0.0,0.0,0.0,1.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,3.0,2.0,Vùng 2,G,1105205.0,0.64,0.69,0.665,0.05,1.0,1816.0,1.0,0.0,1.0
71,2.0,T1,1.0,G8,1.0,1.45,2160500.0,4.5,1.0,0.0,0.0,0.0,2.0,0.0,MALE,DN,0,0.0,0.0,0.0,Four,1.0,1.0,0.0,VN,TA,0.0,5.0,3.0,I,3.0,2.0,Vùng 2,D,301447.0,0.0,0.27,0.135,0.27,1.0,2167.0,3.0,1.0,1.0
72,2.0,GH,1.0,G8,1.0,0.0,2408000.0,4.5,1.0,6.0,0.0,0.0,24.0,0.0,FEMALE,HC,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,TB,0.0,4.0,3.0,I,7.0,2.0,Vùng 2,G,570914.0,0.07,0.69,0.62,0.08,1.0,344.0,3.0,0.0,3.0
73,2.0,T1,1.0,G8,1.0,0.0,4500000.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,MALE,HC,0.0,1.0,1.0,0.0,One,1.0,1.0,0.0,VN,BI,0.0,4.0,4.0,I,3.0,3.0,Vùng 1,H,202921.0,0.08,0.03,0.31,-0.24,1.0,1077.0,1.0,0.0,3.0
74,2.0,T1,1.0,G8,1.0,4.303999999999999,3033000.0,4.5,1.0,6.0,0.0,0.0,0.0,0.0,FEMALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,US,NZ,0.0,4.0,2.0,I,4.0,1.0,"DN đầu tư NN (Vùng 1 có ĐT) {01->09, 15}",E,402296.0,0.95,0.43,0.865,-0.54,0.0,1452.0,6.0,3.0,6.0
